X,Y,Z
1.428861,1.697618,-0.2638814
1.438598,1.657861,-0.2659175
1.439507,1.614581,-0.2630001
1.439337,1.572906,-0.2607913
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
1.434015,1.532229,-0.2597332
