Gaze Left X,Gaze Left Y,Gaze Left Z
-0.3638763,0.04304504,0.9304504
-0.2754822,0.0763092,0.9582672
-0.2560425,0.07820129,0.9634857
-0.247818,0.081604,0.9653625
-0.2067108,0.08555603,0.9746399
-0.2067566,0.09701538,0.9735565
-0.172699,0.1155701,0.9781647
-0.2101593,0.1191101,0.9703674
-0.1742096,0.1176758,0.9776459
-0.1621246,0.1175232,0.9797363
0.01022339,0.1127014,0.9935608
0.01296997,0.1102142,0.9938202
0.003097534,0.07017517,0.9975281
-0.002212524,0.07173157,0.997406
-0.01542664,0.07139587,0.9973145
-0.02177429,0.07133484,0.9972076
-0.1163788,0.08953857,0.989151
-0.1688538,0.07341003,0.9828949
-0.1863251,0.04463196,0.9814606
-0.2518768,0.2036896,0.9460754
0.1481934,0.1986847,0.9687805
-0.2279358,0.2404938,0.9434967
-0.1877747,-0.2916565,0.9378967
-0.1797638,-0.2951813,0.9383698
-0.1335602,-0.3386841,0.931366
-0.1759033,-0.3179169,0.9316406
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-0.3736115,0.1327972,0.9180145
-0.3756561,0.1624146,0.9124146
-0.3795319,0.1892853,0.9055939
-0.3515778,0.1595154,0.9224548
-0.046875,-0.1354828,0.9896545
-0.3480988,0.14328,0.9264374
-0.3356781,0.1426544,0.9311066
-0.3321228,0.1374359,0.9331665
-0.2986908,0.1733704,0.9384613
-0.2755737,0.1420898,0.9507141
-0.2844849,0.1779022,0.9420166
-0.286438,0.1895599,0.9391479
-0.2743683,0.142868,0.950943
-0.2723389,0.1352539,0.9526367
-0.2959442,0.1941071,0.935257
-0.2955017,0.1929321,0.9356384
-0.2914124,0.1976013,0.9359589
-0.2870178,0.199585,0.9368896
-0.2563324,0.1855469,0.9486084
-0.262558,0.1856842,0.9468689
-0.2671814,0.1785278,0.9469604
-0.2708435,0.1795197,0.9457245
-0.2704773,0.1814117,0.9454651
-0.2581177,0.182251,0.948761
-0.2650146,0.1808167,0.9471283
-0.2587585,0.1900787,0.9470367
-0.2533569,0.1859589,0.9493256
-0.2391205,0.1797485,0.9541931
-0.2321625,0.17453,0.9568787
-0.2379456,0.1777649,0.9548645
-0.2379913,0.1778259,0.954834
-0.2379608,0.1782379,0.9547729
-0.2371521,0.1781921,0.9549713
-0.2371063,0.1790619,0.954834
-0.2377625,0.1815491,0.9541931
-0.2379303,0.183136,0.9538422
-0.2385101,0.1852417,0.9532928
-0.2148285,0.1441803,0.9659424
-0.2012482,0.1290741,0.970993
-0.2078552,0.1110229,0.9718323
-0.2141876,0.1225281,0.9690704
-0.2090302,0.1288452,0.9693756
-0.2032776,0.1295319,0.9705048
-0.1993256,0.1280212,0.9715271
-0.1989441,0.1303711,0.9712982
-0.199585,0.1309052,0.9710846
-0.2127228,0.1460724,0.9661255
-0.2252197,0.1275787,0.9659119
-0.2373199,0.1225128,0.9636688
-0.2377014,0.1257477,0.96315
-0.2542114,0.1296997,0.9584045
-0.2688293,0.122818,0.9553223
-0.2891083,0.1195679,0.9497833
-0.2949371,0.1129456,0.9488068
-0.3083496,0.1157379,0.9441986
-0.3254242,0.116394,0.9383698
-0.3227692,0.1088867,0.9401855
-0.3140564,0.1116028,0.9428101
-0.3421478,0.1309662,0.9304657
-0.3385925,0.1192017,0.9333344
-0.341217,0.1244965,0.9316864
-0.356842,0.09968567,0.9288177
-0.3695221,0.0970459,0.924118
-0.3695221,0.08482361,0.9253387
-0.3744812,0.1456757,0.9157104
-0.3636627,0.1126556,0.9246826
-0.3547821,0.06079102,0.9329681
-0.3535309,0.04904175,0.9341278
-0.317276,0.06730652,0.9459381
-0.2910461,0.0769043,0.953598
-0.2871552,0.1068268,0.9519043
-0.2763367,0.1039886,0.9554138
-0.2816467,0.139389,0.9493256
-0.2757111,0.1639252,0.9471436
-0.2832489,0.2453918,0.9271088
-0.2730103,0.2335052,0.9332275
-0.2797089,0.363205,0.8887177
-0.2754364,0.4075012,0.8706665
-0.2801056,0.4664307,0.8390198
